"v1","v2"
"2","44"
"2","35"
"2","39"
"2","171"
"2","121"
"2","111"
"2","160"
"2","112"
"2","79"
"2","40"
"2","122"
"2","178"
"2","46"
"2","68"
"2","61"
"2","25"
"2","58"
"2","70"
"2","138"
"2","159"
"2","127"
"2","32"
"2","36"
"2","157"
"2","11"
"2","59"
"2","164"
"2","60"
"2","108"
"2","119"
"2","136"
"2","55"
"2","100"
"2","94"
"2","88"
"2","130"
"2","163"
"2","115"
"2","97"
"2","123"
"2","17"
"2","86"
"2","126"
"2","4"
"2","125"
"2","152"
"2","98"
"2","45"
"2","22"
"2","99"
"2","140"
"2","167"
"2","161"
"2","95"
"2","103"
"2","74"
"2","165"
"2","65"
"2","169"
"2","51"
"2","83"
"2","38"
"2","14"
"2","52"
"2","30"
"2","110"
"2","85"
"2","109"
"2","162"
"2","166"
"2","54"
"2","104"
"2","15"
"2","18"
"2","128"
"2","82"
"2","12"
"2","116"
"2","139"
"2","106"
"2","107"
"2","120"
"2","62"
"2","50"
"2","57"
"2","23"
"2","33"
"2","41"
"2","147"
"2","117"
"2","75"
"2","84"
"2","49"
"2","48"
"2","67"
"2","174"
"2","47"
"2","43"
"2","137"
"2","27"
"2","37"
"2","31"
"2","102"
"2","92"
"2","93"
"2","24"
"2","8"
"2","63"
"2","133"
"2","168"
"2","135"
"2","134"
"2","154"
"2","96"
"2","72"
"2","149"
"2","81"
"2","10"
"2","28"
"2","132"
"2","105"
"2","150"
"2","1"
"3","150"
"3","102"
"3","94"
"3","112"
"3","32"
"3","178"
"3","149"
"3","139"
"3","24"
"3","128"
"3","30"
"3","41"
"3","154"
"3","167"
"3","110"
"3","65"
"3","10"
"3","38"
"3","29"
"3","109"
"3","67"
"3","4"
"3","156"
"3","42"
"3","171"
"3","58"
"3","116"
"3","72"
"3","95"
"3","119"
"3","93"
"3","69"
"3","147"
"3","12"
"3","85"
"3","46"
"3","174"
"3","51"
"3","97"
"3","34"
"3","105"
"3","14"
"3","176"
"3","18"
"3","25"
"3","152"
"3","144"
"3","130"
"3","103"
"3","49"
"3","151"
"3","121"
"3","5"
"3","54"
"3","47"
"3","108"
"3","162"
"3","126"
"3","100"
"3","132"
"3","157"
"3","79"
"3","124"
"3","15"
"3","81"
"3","168"
"3","170"
"3","88"
"3","48"
"3","77"
"3","166"
"3","22"
"3","43"
"3","161"
"3","61"
"3","39"
"3","75"
"3","135"
"3","145"
"3","23"
"3","52"
"3","35"
"3","33"
"3","89"
"3","122"
"3","133"
"3","45"
"3","36"
"3","153"
"3","28"
"3","70"
"3","83"
"3","160"
"3","27"
"3","21"
"3","165"
"3","164"
"3","63"
"3","31"
"3","99"
"3","44"
"3","11"
"3","50"
"3","125"
"3","127"
"3","37"
"3","60"
"3","115"
"3","111"
"3","137"
"3","62"
"3","8"
"3","76"
"3","123"
"3","107"
"3","169"
"3","7"
"3","140"
"3","55"
"3","71"
"3","78"
"3","136"
"3","98"
"3","134"
"3","74"
"3","159"
"3","114"
"3","96"
"3","59"
"3","40"
"3","17"
"3","138"
"3","84"
"3","155"
"3","106"
"3","141"
"3","117"
"3","6"
"3","57"
"3","68"
"3","82"
"3","143"
"3","92"
"3","148"
"3","104"
"3","163"
"3","86"
"3","53"
"3","120"
"3","175"
"3","2"
"3","1"
"4","102"
"4","148"
"4","118"
"4","72"
"4","178"
"4","36"
"4","8"
"4","11"
"4","122"
"4","6"
"4","44"
"4","23"
"4","84"
"4","130"
"4","82"
"4","42"
"4","85"
"4","147"
"4","26"
"4","24"
"4","145"
"4","139"
"4","45"
"4","33"
"4","143"
"4","163"
"4","167"
"4","54"
"4","150"
"4","115"
"4","119"
"4","13"
"4","160"
"4","50"
"4","165"
"4","71"
"4","154"
"4","5"
"4","117"
"4","171"
"4","161"
"4","155"
"4","91"
"4","65"
"4","176"
"4","17"
"4","104"
"4","64"
"4","94"
"4","21"
"4","18"
"4","68"
"4","37"
"4","57"
"4","106"
"4","113"
"4","127"
"4","75"
"4","146"
"4","14"
"4","47"
"4","168"
"4","103"
"4","67"
"4","112"
"4","22"
"4","70"
"4","159"
"4","87"
"4","74"
"4","137"
"4","132"
"4","134"
"4","51"
"4","116"
"4","133"
"4","88"
"4","110"
"4","56"
"4","41"
"4","92"
"4","52"
"4","136"
"4","120"
"4","164"
"4","96"
"4","69"
"4","98"
"4","173"
"4","34"
"4","31"
"4","151"
"4","140"
"4","138"
"4","81"
"4","77"
"4","174"
"4","12"
"4","38"
"4","142"
"4","10"
"4","60"
"4","144"
"4","61"
"4","162"
"4","177"
"4","27"
"4","135"
"4","86"
"4","66"
"4","63"
"4","169"
"4","73"
"4","109"
"4","158"
"4","48"
"4","152"
"4","7"
"4","107"
"4","101"
"4","123"
"4","166"
"4","153"
"4","19"
"4","175"
"4","76"
"4","59"
"4","99"
"4","20"
"4","100"
"4","78"
"4","29"
"4","172"
"4","15"
"4","43"
"4","125"
"4","141"
"4","156"
"4","46"
"4","39"
"4","97"
"4","124"
"4","35"
"4","108"
"4","55"
"4","170"
"4","105"
"4","58"
"4","83"
"4","157"
"4","80"
"4","3"
"4","2"
"4","1"
"5","119"
"5","94"
"5","76"
"5","81"
"5","7"
"5","153"
"5","161"
"5","127"
"5","137"
"5","123"
"5","178"
"5","34"
"5","21"
"5","36"
"5","23"
"5","22"
"5","83"
"5","112"
"5","6"
"5","97"
"5","102"
"5","99"
"5","122"
"5","82"
"5","61"
"5","130"
"5","154"
"5","50"
"5","78"
"5","176"
"5","109"
"5","66"
"5","155"
"5","40"
"5","108"
"5","24"
"5","149"
"5","68"
"5","117"
"5","75"
"5","89"
"5","142"
"5","169"
"5","158"
"5","120"
"5","163"
"5","19"
"5","105"
"5","52"
"5","70"
"5","53"
"5","15"
"5","107"
"5","79"
"5","172"
"5","56"
"5","157"
"5","95"
"5","63"
"5","111"
"5","166"
"5","44"
"5","106"
"5","125"
"5","58"
"5","31"
"5","33"
"5","48"
"5","12"
"5","113"
"5","139"
"5","115"
"5","152"
"5","74"
"5","55"
"5","41"
"5","104"
"5","162"
"5","167"
"5","168"
"5","175"
"5","159"
"5","118"
"5","141"
"5","171"
"5","29"
"5","13"
"5","116"
"5","173"
"5","69"
"5","45"
"5","146"
"5","124"
"5","110"
"5","17"
"5","39"
"5","80"
"5","86"
"5","132"
"5","91"
"5","35"
"5","71"
"5","25"
"5","100"
"5","46"
"5","32"
"5","177"
"5","65"
"5","136"
"5","14"
"5","26"
"5","67"
"5","37"
"5","8"
"5","170"
"5","11"
"5","174"
"5","103"
"5","151"
"5","160"
"5","54"
"5","140"
"5","148"
"5","165"
"5","98"
"5","10"
"5","143"
"5","85"
"5","150"
"5","134"
"5","51"
"5","57"
"5","96"
"5","147"
"5","87"
"5","164"
"5","43"
"5","18"
"5","60"
"5","133"
"5","156"
"5","144"
"5","59"
"5","20"
"5","88"
"5","135"
"5","101"
"5","145"
"5","73"
"5","47"
"5","72"
"5","126"
"5","92"
"5","27"
"5","42"
"5","84"
"5","38"
"5","138"
"5","77"
"5","2"
"5","4"
"5","3"
"5","1"
"6","19"
"6","88"
"6","26"
"6","113"
"6","169"
"6","87"
"6","76"
"6","72"
"6","176"
"6","17"
"6","102"
"6","15"
"6","147"
"6","124"
"6","133"
"6","12"
"6","69"
"6","58"
"6","138"
"6","36"
"6","146"
"6","148"
"6","70"
"6","71"
"6","109"
"6","63"
"6","79"
"6","173"
"6","111"
"6","8"
"6","142"
"6","172"
"6","132"
"6","54"
"6","28"
"6","139"
"6","53"
"6","118"
"6","151"
"6","82"
"6","52"
"6","95"
"6","55"
"6","97"
"6","161"
"6","89"
"6","101"
"6","114"
"6","42"
"6","99"
"6","25"
"6","134"
"6","170"
"6","46"
"6","68"
"6","67"
"6","21"
"6","65"
"6","107"
"6","77"
"6","49"
"6","85"
"6","174"
"6","123"
"6","59"
"6","86"
"6","171"
"6","64"
"6","91"
"6","105"
"6","137"
"6","33"
"6","153"
"6","81"
"6","154"
"6","162"
"6","144"
"6","103"
"6","115"
"6","135"
"6","116"
"6","165"
"6","164"
"6","7"
"6","29"
"6","61"
"6","27"
"6","10"
"6","22"
"6","80"
"6","108"
"6","128"
"6","40"
"6","73"
"6","47"
"6","60"
"6","94"
"6","51"
"6","50"
"6","39"
"6","44"
"6","75"
"6","56"
"6","92"
"6","66"
"6","152"
"6","159"
"6","84"
"6","178"
"6","160"
"6","163"
"6","30"
"6","119"
"6","98"
"6","20"
"6","175"
"6","112"
"6","158"
"6","96"
"6","41"
"6","93"
"6","14"
"6","130"
"6","117"
"6","140"
"6","78"
"6","83"
"6","120"
"6","45"
"6","24"
"6","156"
"6","136"
"6","157"
"6","62"
"6","18"
"6","11"
"6","166"
"6","35"
"6","143"
"6","106"
"6","100"
"6","177"
"6","32"
"6","121"
"6","141"
"6","57"
"6","31"
"6","167"
"6","23"
"6","34"
"6","48"
"6","145"
"6","43"
"6","149"
"6","37"
"6","13"
"6","150"
"6","104"
"6","127"
"6","125"
"6","38"
"6","122"
"6","74"
"6","155"
"6","168"
"6","126"
"6","110"
"6","4"
"6","5"
"6","2"
"6","1"
"6","3"
"7","144"
"7","137"
"7","112"
"7","170"
"7","48"
"7","11"
"7","59"
"7","149"
"7","69"
"7","100"
"7","82"
"7","75"
"7","79"
"7","98"
"7","127"
"7","40"
"7","164"
"7","141"
"7","155"
"7","162"
"7","145"
"7","67"
"7","46"
"7","140"
"7","86"
"7","93"
"7","28"
"7","63"
"7","37"
"7","72"
"7","18"
"7","10"
"7","139"
"7","38"
"7","115"
"7","153"
"7","49"
"7","163"
"7","102"
"7","39"
"7","147"
"7","30"
"7","43"
"7","121"
"7","125"
"7","126"
"7","65"
"7","167"
"7","99"
"7","94"
"7","97"
"7","169"
"7","133"
"7","148"
"7","165"
"7","68"
"7","50"
"7","32"
"7","92"
"7","45"
"7","24"
"7","76"
"7","95"
"7","53"
"7","123"
"7","36"
"7","151"
"7","21"
"7","60"
"7","70"
"7","117"
"7","22"
"7","174"
"7","109"
"7","175"
"7","105"
"7","25"
"7","110"
"7","143"
"7","160"
"7","8"
"7","54"
"7","111"
"7","120"
"7","61"
"7","88"
"7","119"
"7","168"
"7","31"
"7","106"
"7","166"
"7","62"
"7","47"
"7","138"
"7","130"
"7","116"
"7","96"
"7","74"
"7","52"
"7","23"
"7","171"
"7","35"
"7","83"
"7","84"
"7","132"
"7","135"
"7","156"
"7","34"
"7","85"
"7","134"
"7","159"
"7","104"
"7","71"
"7","77"
"7","152"
"7","136"
"7","55"
"7","176"
"7","14"
"7","15"
"7","33"
"7","81"
"7","114"
"7","178"
"7","12"
"7","58"
"7","157"
"7","89"
"7","128"
"7","154"
"7","103"
"7","161"
"7","57"
"7","150"
"7","41"
"7","27"
"7","78"
"7","42"
"7","17"
"7","124"
"7","51"
"7","108"
"7","107"
"7","122"
"7","44"
"7","5"
"7","2"
"7","6"
"7","4"
"7","3"
"7","1"
"8","61"
"8","75"
"8","149"
"8","96"
"8","24"
"8","99"
"8","80"
"8","133"
"8","135"
"8","164"
"8","21"
"8","125"
"8","111"
"8","41"
"8","171"
"8","110"
"8","102"
"8","170"
"8","155"
"8","64"
"8","87"
"8","13"
"8","10"
"8","115"
"8","44"
"8","23"
"8","77"
"8","172"
"8","126"
"8","116"
"8","83"
"8","49"
"8","11"
"8","78"
"8","22"
"8","85"
"8","112"
"8","106"
"8","150"
"8","82"
"8","167"
"8","113"
"8","104"
"8","158"
"8","46"
"8","92"
"8","20"
"8","95"
"8","124"
"8","173"
"8","48"
"8","54"
"8","53"
"8","127"
"8","14"
"8","139"
"8","159"
"8","32"
"8","103"
"8","136"
"8","66"
"8","33"
"8","120"
"8","151"
"8","137"
"8","128"
"8","107"
"8","140"
"8","117"
"8","71"
"8","51"
"8","79"
"8","146"
"8","86"
"8","97"
"8","94"
"8","93"
"8","57"
"8","47"
"8","154"
"8","76"
"8","168"
"8","72"
"8","152"
"8","36"
"8","74"
"8","63"
"8","177"
"8","109"
"8","166"
"8","70"
"8","15"
"8","163"
"8","165"
"8","67"
"8","45"
"8","81"
"8","25"
"8","38"
"8","56"
"8","73"
"8","60"
"8","142"
"8","101"
"8","69"
"8","138"
"8","130"
"8","119"
"8","108"
"8","153"
"8","174"
"8","58"
"8","169"
"8","43"
"8","122"
"8","42"
"8","143"
"8","19"
"8","88"
"8","156"
"8","40"
"8","26"
"8","59"
"8","35"
"8","55"
"8","121"
"8","98"
"8","105"
"8","39"
"8","178"
"8","118"
"8","52"
"8","27"
"8","37"
"8","68"
"8","29"
"8","141"
"8","65"
"8","161"
"8","17"
"8","91"
"8","18"
"8","147"
"8","176"
"8","132"
"8","50"
"8","145"
"8","157"
"8","134"
"8","89"
"8","144"
"8","148"
"8","12"
"8","160"
"8","100"
"8","84"
"8","175"
"8","162"
"8","34"
"8","31"
"8","123"
"8","4"
"8","6"
"8","7"
"8","1"
"8","5"
"8","3"
"8","2"
"9","131"
"9","64"
"9","113"
"9","158"
"9","80"
"9","19"
"10","171"
"10","168"
"10","25"
"10","115"
"10","137"
"10","70"
"10","159"
"10","78"
"10","35"
"10","12"
"10","49"
"10","161"
"10","86"
"10","108"
"10","11"
"10","176"
"10","111"
"10","54"
"10","36"
"10","126"
"10","30"
"10","32"
"10","125"
"10","33"
"10","143"
"10","51"
"10","81"
"10","116"
"10","29"
"10","21"
"10","84"
"10","85"
"10","41"
"10","106"
"10","100"
"10","127"
"10","75"
"10","152"
"10","157"
"10","94"
"10","163"
"10","144"
"10","65"
"10","147"
"10","47"
"10","120"
"10","110"
"10","150"
"10","27"
"10","74"
"10","155"
"10","141"
"10","31"
"10","154"
"10","60"
"10","63"
"10","167"
"10","130"
"10","103"
"10","135"
"10","138"
"10","96"
"10","164"
"10","89"
"10","95"
"10","45"
"10","88"
"10","134"
"10","38"
"10","133"
"10","109"
"10","22"
"10","23"
"10","162"
"10","68"
"10","62"
"10","57"
"10","91"
"10","52"
"10","40"
"10","119"
"10","114"
"10","39"
"10","112"
"10","55"
"10","151"
"10","170"
"10","58"
"10","148"
"10","82"
"10","59"
"10","17"
"10","71"
"10","15"
"10","24"
"10","18"
"10","69"
"10","117"
"10","37"
"10","123"
"10","28"
"10","67"
"10","13"
"10","105"
"10","121"
"10","61"
"10","132"
"10","156"
"10","174"
"10","97"
"10","76"
"10","175"
"10","104"
"10","53"
"10","139"
"10","169"
"10","128"
"10","83"
"10","165"
"10","79"
"10","14"
"10","145"
"10","178"
"10","72"
"10","92"
"10","122"
"10","93"
"10","46"
"10","48"
"10","124"
"10","77"
"10","44"
"10","43"
"10","153"
"10","34"
"10","160"
"10","98"
"10","42"
"10","102"
"10","107"
"10","140"
"10","136"
"10","50"
"10","166"
"10","149"
"10","99"
"10","3"
"10","8"
"10","7"
"10","6"
"10","4"
"10","5"
"10","2"
"10","1"
"11","41"
"11","91"
"11","135"
"11","52"
"11","35"
"11","124"
"11","88"
"11","165"
"11","18"
"11","174"
"11","84"
"11","46"
"11","72"
"11","96"
"11","168"
"11","160"
"11","94"
"11","140"
"11","51"
"11","108"
"11","167"
"11","23"
"11","85"
"11","177"
"11","69"
"11","79"
"11","15"
"11","31"
"11","47"
"11","100"
"11","86"
"11","134"
"11","122"
"11","139"
"11","169"
"11","63"
"11","161"
"11","80"
"11","54"
"11","66"
"11","50"
"11","115"
"11","103"
"11","157"
"11","112"
"11","153"
"11","44"
"11","36"
"11","74"
"11","39"
"11","61"
"11","120"
"11","109"
"11","175"
"11","106"
"11","37"
"11","45"
"11","152"
"11","38"
"11","137"
"11","164"
"11","154"
"11","65"
"11","33"
"11","70"
"11","27"
"11","116"
"11","155"
"11","143"
"11","17"
"11","55"
"11","87"
"11","92"
"11","59"
"11","105"
"11","127"
"11","42"
"11","34"
"11","13"
"11","68"
"11","130"
"11","67"
"11","132"
"11","107"
"11","43"
"11","117"
"11","113"
"11","22"
"11","102"
"11","71"
"11","125"
"11","76"
"11","19"
"11","57"
"11","82"
"11","83"
"11","73"
"11","110"
"11","48"
"11","171"
"11","148"
"11","104"
"11","24"
"11","172"
"11","166"
"11","56"
"11","60"
"11","58"
"11","77"
"11","14"
"11","29"
"11","119"
"11","136"
"11","133"
"11","141"
"11","99"
"11","156"
"11","145"
"11","98"
"11","75"
"11","178"
"11","118"
"11","150"
"11","101"
"11","81"
"11","21"
"11","162"
"11","159"
"11","123"
"11","176"
"11","173"
"11","151"
"11","142"
"11","20"
"11","97"
"11","170"
"11","163"
"11","138"
"11","144"
"11","12"
"11","146"
"11","147"
"11","78"
"11","26"
"11","7"
"11","4"
"11","10"
"11","8"
"11","1"
"11","2"
"11","3"
"11","5"
"11","6"
"12","133"
"12","14"
"12","149"
"12","64"
"12","53"
"12","96"
"12","95"
"12","111"
"12","25"
"12","67"
"12","91"
"12","123"
"12","162"
"12","116"
"12","119"
"12","159"
"12","169"
"12","125"
"12","58"
"12","98"
"12","121"
"12","34"
"12","148"
"12","120"
"12","23"
"12","50"
"12","36"
"12","146"
"12","104"
"12","87"
"12","113"
"12","47"
"12","112"
"12","167"
"12","128"
"12","166"
"12","78"
"12","82"
"12","71"
"12","100"
"12","177"
"12","42"
"12","74"
"12","89"
"12","17"
"12","136"
"12","118"
"12","110"
"12","41"
"12","102"
"12","135"
"12","33"
"12","134"
"12","13"
"12","72"
"12","21"
"12","164"
"12","37"
"12","84"
"12","15"
"12","97"
"12","106"
"12","31"
"12","92"
"12","139"
"12","88"
"12","48"
"12","24"
"12","161"
"12","144"
"12","70"
"12","163"
"12","27"
"12","109"
"12","108"
"12","158"
"12","55"
"12","59"
"12","77"
"12","170"
"12","44"
"12","19"
"12","83"
"12","103"
"12","127"
"12","85"
"12","75"
"12","138"
"12","126"
"12","160"
"12","172"
"12","68"
"12","99"
"12","57"
"12","142"
"12","86"
"12","38"
"12","39"
"12","30"
"12","29"
"12","81"
"12","117"
"12","176"
"12","49"
"12","141"
"12","132"
"12","76"
"12","46"
"12","115"
"12","65"
"12","107"
"12","101"
"12","157"
"12","173"
"12","56"
"12","26"
"12","66"
"12","147"
"12","51"
"12","130"
"12","140"
"12","52"
"12","154"
"12","174"
"12","80"
"12","152"
"12","165"
"12","143"
"12","145"
"12","32"
"12","122"
"12","22"
"12","43"
"12","151"
"12","18"
"12","168"
"12","124"
"12","54"
"12","40"
"12","155"
"12","20"
"12","69"
"12","137"
"12","114"
"12","28"
"12","62"
"12","156"
"12","93"
"12","63"
"12","150"
"12","79"
"12","94"
"12","153"
"12","178"
"12","105"
"12","45"
"12","73"
"12","175"
"12","60"
"12","61"
"12","35"
"12","171"
"12","10"
"12","6"
"12","3"
"12","5"
"12","4"
"12","2"
"12","7"
"12","1"
"12","8"
"12","11"
"13","33"
"13","77"
"13","54"
"13","175"
"13","44"
"13","50"
"13","60"
"13","66"
"13","142"
"13","169"
"13","170"
"13","108"
"13","35"
"13","97"
"13","133"
"13","172"
"13","91"
"13","86"
"13","58"
"13","14"
"13","45"
"13","150"
"13","124"
"13","76"
"13","100"
"13","147"
"13","87"
"13","21"
"13","165"
"13","19"
"13","57"
"13","127"
"13","132"
"13","71"
"13","18"
"13","178"
"13","92"
"13","176"
"13","119"
"13","163"
"13","43"
"13","143"
"13","116"
"13","37"
"13","152"
"13","104"
"13","148"
"13","17"
"13","106"
"13","167"
"13","130"
"13","46"
"13","151"
"13","134"
"13","39"
"13","56"
"13","55"
"13","73"
"13","156"
"13","173"
"13","82"
"13","59"
"13","36"
"13","154"
"13","24"
"13","78"
"13","31"
"13","174"
"13","107"
"13","112"
"13","141"
"13","85"
"13","83"
"13","109"
"13","159"
"13","20"
"13","26"
"13","61"
"13","22"
"13","110"
"13","136"
"13","117"
"13","41"
"13","103"
"13","140"
"13","67"
"13","105"
"13","145"
"13","146"
"13","27"
"13","125"
"13","63"
"13","102"
"13","48"
"13","72"
"13","115"
"13","155"
"13","177"
"13","161"
"13","68"
"13","84"
"13","139"
"13","171"
"13","70"
"13","51"
"13","144"
"13","157"
"13","96"
"13","153"
"13","69"
"13","98"
"13","135"
"13","15"
"13","122"
"13","94"
"13","74"
"13","118"
"13","101"
"13","88"
"13","42"
"13","29"
"13","160"
"13","75"
"13","23"
"13","164"
"13","65"
"13","162"
"13","34"
"13","120"
"13","137"
"13","168"
"13","99"
"13","1"
"13","8"
"13","2"
"13","4"
"13","12"
"13","5"
"13","11"
"13","10"
"13","6"
"14","132"
"14","74"
"14","117"
"14","55"
"14","23"
"14","138"
"14","88"
"14","44"
"14","46"
"14","94"
"14","178"
"14","84"
"14","160"
"14","177"
"14","71"
"14","59"
"14","133"
"14","154"
"14","34"
"14","54"
"14","151"
"14","124"
"14","40"
"14","115"
"14","168"
"14","164"
"14","33"
"14","140"
"14","41"
"14","57"
"14","20"
"14","153"
"14","116"
"14","144"
"14","135"
"14","169"
"14","73"
"14","141"
"14","35"
"14","102"
"14","67"
"14","36"
"14","21"
"14","17"
"14","106"
"14","166"
"14","42"
"14","32"
"14","171"
"14","105"
"14","122"
"14","170"
"14","91"
"14","15"
"14","136"
"14","125"
"14","27"
"14","172"
"14","83"
"14","58"
"14","78"
"14","104"
"14","24"
"14","50"
"14","163"
"14","134"
"14","31"
"14","86"
"14","97"
"14","176"
"14","165"
"14","137"
"14","127"
"14","26"
"14","85"
"14","142"
"14","52"
"14","63"
"14","81"
"14","155"
"14","107"
"14","145"
"14","139"
"14","66"
"14","150"
"14","95"
"14","70"
"14","103"
"14","147"
"14","174"
"14","48"
"14","118"
"14","47"
"14","37"
"14","146"
"14","110"
"14","123"
"14","96"
"14","39"
"14","162"
"14","79"
"14","109"
"14","61"
"14","152"
"14","101"
"14","130"
"14","19"
"14","56"
"14","69"
"14","167"
"14","99"
"14","173"
"14","45"
"14","72"
"14","148"
"14","92"
"14","159"
"14","108"
"14","51"
"14","119"
"14","43"
"14","161"
"14","175"
"14","112"
"14","157"
"14","76"
"14","82"
"14","60"
"14","100"
"14","38"
"14","77"
"14","68"
"14","29"
"14","98"
"14","120"
"14","65"
"14","22"
"14","156"
"14","18"
"14","75"
"14","143"
"14","12"
"14","1"
"14","13"
"14","3"
"14","4"
"14","8"
"14","5"
"14","2"
"14","6"
"14","11"
"14","7"
"14","10"
"15","46"
"15","123"
"15","164"
"15","115"
"15","142"
"15","88"
"15","140"
"15","65"
"15","114"
"15","23"
"15","67"
"15","178"
"15","162"
"15","18"
"15","99"
"15","93"
"15","175"
"15","120"
"15","49"
"15","150"
"15","47"
"15","143"
"15","172"
"15","72"
"15","20"
"15","141"
"15","36"
"15","112"
"15","130"
"15","157"
"15","89"
"15","154"
"15","151"
"15","73"
"15","137"
"15","107"
"15","173"
"15","31"
"15","79"
"15","39"
"15","25"
"15","153"
"15","40"
"15","77"
"15","70"
"15","43"
"15","45"
"15","166"
"15","176"
"15","163"
"15","177"
"15","59"
"15","132"
"15","51"
"15","80"
"15","87"
"15","63"
"15","32"
"15","48"
"15","100"
"15","28"
"15","159"
"15","147"
"15","110"
"15","103"
"15","165"
"15","105"
"15","96"
"15","136"
"15","30"
"15","174"
"15","116"
"15","53"
"15","125"
"15","92"
"15","102"
"15","75"
"15","124"
"15","85"
"15","58"
"15","71"
"15","62"
"15","41"
"15","19"
"15","50"
"15","168"
"15","101"
"15","148"
"15","169"
"15","138"
"15","69"
"15","144"
"15","38"
"15","121"
"15","118"
"15","139"
"15","61"
"15","27"
"15","94"
"15","122"
"15","17"
"15","109"
"15","108"
"15","29"
"15","91"
"15","54"
"15","68"
"15","106"
"15","126"
"15","170"
"15","156"
"15","86"
"15","128"
"15","34"
"15","155"
"15","113"
"15","119"
"15","22"
"15","111"
"15","78"
"15","135"
"15","81"
"15","117"
"15","37"
"15","82"
"15","167"
"15","97"
"15","146"
"15","66"
"15","134"
"15","127"
"15","83"
"15","26"
"15","104"
"15","60"
"15","171"
"15","42"
"15","133"
"15","76"
"15","24"
"15","57"
"15","145"
"15","74"
"15","44"
"15","152"
"15","161"
"15","149"
"15","160"
"15","55"
"15","52"
"15","56"
"15","35"
"15","84"
"15","21"
"15","33"
"15","95"
"15","98"
"15","6"
"15","11"
"15","5"
"15","12"
"15","14"
"15","3"
"15","8"
"15","10"
"15","1"
"15","2"
"15","7"
"15","13"
"15","4"
"17","70"
"17","43"
"17","99"
"17","108"
"17","166"
"17","49"
"17","154"
"17","137"
"17","25"
"17","138"
"17","178"
"17","146"
"17","125"
"17","120"
"17","157"
"17","116"
"17","168"
"17","78"
"17","117"
"17","96"
"17","86"
"17","32"
"17","140"
"17","135"
"17","159"
"17","65"
"17","144"
"17","104"
"17","93"
"17","72"
"17","147"
"17","169"
"17","115"
"17","161"
"17","82"
"17","45"
"17","97"
"17","126"
"17","88"
"17","153"
"17","176"
"17","152"
"17","62"
"17","167"
"17","171"
"17","79"
"17","67"
"17","27"
"17","46"
"17","42"
"17","145"
"17","121"
"17","57"
"17","31"
"17","124"
"17","26"
"17","122"
"17","173"
"17","155"
"17","63"
"17","34"
"17","136"
"17","55"
"17","148"
"17","47"
"17","165"
"17","114"
"17","22"
"17","44"
"17","37"
"17","71"
"17","76"
"17","84"
"17","175"
"17","119"
"17","100"
"17","18"
"17","41"
"17","89"
"17","134"
"17","141"
"17","40"
"17","53"
"17","156"
"17","132"
"17","103"
"17","58"
"17","106"
"17","59"
"17","150"
"17","109"
"17","128"
"17","118"
"17","73"
"17","110"
"17","112"
"17","81"
"17","177"
"17","85"
"17","61"
"17","162"
"17","29"
"17","133"
"17","20"
